category,subcategory,symptoms,diagnosis_steps,chunk
Engine Components,Exhaust Valve,"['Engine misfires', 'Rough idle']","[{'step': 'Inspect exhaust valve for carbon buildup', 'result': ['Buildup on valve', 'Clean valve']}, {'step': 'Check valve clearance', 'result': ['Incorrect clearance', 'Correct clearance']}]",category engine components subcategory exhaust valve symptoms engine misfires rough idle diagnosis steps 1 inspect exhaust valve for carbon buildup buildup on valve clean valve 2 check valve clearance incorrect clearance correct clearance
Engine Components,Fuel Injector,"['Engine misfires', 'Poor fuel economy']","[{'step': 'Test fuel injector spray pattern', 'result': ['Irregular spray pattern', 'Uniform spray pattern']}, {'step': 'Inspect injector for leaks or clogs', 'result': ['Leaking/clogged injector', 'Clean/in-tolerance injector']}]",category engine components subcategory fuel injector symptoms engine misfires poor fuel economy diagnosis steps 1 test fuel injector spray pattern irregular spray pattern uniform spray pattern 2 inspect injector for leaks or clogs leaking clogged injector clean in tolerance injector
Engine Components,Idle Air Control Valve,"['Erratic idle speed', 'Stalling at idle']","[{'step': 'Test IAC valve for proper operation', 'result': ['Valve stuck open/closed', 'Valve operates correctly']}, {'step': 'Clean throttle body and IAC valve', 'result': ['Dirty components', 'Clean components']}]",category engine components subcategory idle air control valve symptoms erratic idle speed stalling at idle diagnosis steps 1 test iac valve for proper operation valve stuck open closed valve operates correctly 2 clean throttle body and iac valve dirty components clean components
Engine Components,Intake Valve,"['Engine misfires', 'Rough idle']","[{'step': 'Inspect intake valve for carbon buildup', 'result': ['Buildup on valve', 'Clean valve']}, {'step': 'Check valve clearance', 'result': ['Incorrect clearance', 'Correct clearance']}]",category engine components subcategory intake valve symptoms engine misfires rough idle diagnosis steps 1 inspect intake valve for carbon buildup buildup on valve clean valve 2 check valve clearance incorrect clearance correct clearance
Engine Components,Oil Pump,"['Low oil pressure warning light', 'Engine knocking noise']","[{'step': 'Test oil pressure with gauge', 'result': ['Low oil pressure', 'Normal oil pressure']}, {'step': 'Inspect oil pump for wear or damage', 'result': ['Worn/damaged pump', 'Pump in good condition']}]",category engine components subcategory oil pump symptoms low oil pressure warning light engine knocking noise diagnosis steps 1 test oil pressure with gauge low oil pressure normal oil pressure 2 inspect oil pump for wear or damage worn damaged pump pump in good condition
Engine Components,Piston Rings,"['Blue smoke from exhaust', 'Loss of engine power']","[{'step': 'Perform compression test', 'result': ['Low compression', 'Good compression']}, {'step': 'Inspect piston rings for wear or damage', 'result': ['Worn/damaged rings', 'Rings in good condition']}]",category engine components subcategory piston rings symptoms blue smoke from exhaust loss of engine power diagnosis steps 1 perform compression test low compression good compression 2 inspect piston rings for wear or damage worn damaged rings rings in good condition
Engine Components,Timing Belt,"['Engine misfires', ""Engine won't start""]","[{'step': 'Inspect timing belt for wear or damage', 'result': ['Worn/damaged belt', 'Belt in good condition']}, {'step': 'Check timing marks for alignment', 'result': ['Misaligned timing marks', 'Properly aligned marks']}]",category engine components subcategory timing belt symptoms engine misfires engine won t start diagnosis steps 1 inspect timing belt for wear or damage worn damaged belt belt in good condition 2 check timing marks for alignment misaligned timing marks properly aligned marks
Engine Components,Valve Cover Gasket,"['Oil leak around valve cover', 'Burning oil smell from engine bay']","[{'step': 'Inspect valve cover gasket for leaks', 'result': ['Leaking gasket', 'Good gasket seal']}, {'step': 'Check valve cover bolts for tightness', 'result': ['Loose bolts', 'Tight bolts']}]",category engine components subcategory valve cover gasket symptoms oil leak around valve cover burning oil smell from engine bay diagnosis steps 1 inspect valve cover gasket for leaks leaking gasket good gasket seal 2 check valve cover bolts for tightness loose bolts tight bolts
Engine Components,Fan Belt,"['Engine overheating', 'Squealing noise from engine bay']","[{'step': 'Inspect fan belt for cuts or wear', 'result': ['Cut/worn belt', 'Belt in good condition']}, {'step': 'Check belt tension and alignment', 'result': ['Loose/misaligned belt', 'Properly tensioned/aligned belt']}]",category engine components subcategory fan belt symptoms engine overheating squealing noise from engine bay diagnosis steps 1 inspect fan belt for cuts or wear cut worn belt belt in good condition 2 check belt tension and alignment loose misaligned belt properly tensioned aligned belt
Electrical System,Horn,['No sound when horn button pressed'],"[{'step': 'Check horn fuse', 'result': ['Blown fuse', 'Fuse intact']}, {'step': 'Test horn relay for operation', 'result': ['Faulty relay', 'Relay working properly']}]",category electrical system subcategory horn symptoms no sound when horn button pressed diagnosis steps 1 check horn fuse blown fuse fuse intact 2 test horn relay for operation faulty relay relay working properly
Electrical System,Battery Charging,"['Battery warning light on', 'Low voltage']","[{'step': 'Test battery voltage', 'result': ['Low voltage', 'Normal voltage']}, {'step': 'Inspect alternator for proper operation', 'result': ['Faulty alternator', 'Alternator working correctly']}]",category electrical system subcategory battery charging symptoms battery warning light on low voltage diagnosis steps 1 test battery voltage low voltage normal voltage 2 inspect alternator for proper operation faulty alternator alternator working correctly
Engine Components,Engine Belt,"['Engine performance issues', 'Squealing noise from engine bay']","[{'step': 'Inspect engine belt for cuts or wear', 'result': ['Cut/worn belt', 'Belt in good condition']}, {'step': 'Check belt tension and alignment', 'result': ['Loose/misaligned belt', 'Properly tensioned/aligned belt']}]",category engine components subcategory engine belt symptoms engine performance issues squealing noise from engine bay diagnosis steps 1 inspect engine belt for cuts or wear cut worn belt belt in good condition 2 check belt tension and alignment loose misaligned belt properly tensioned aligned belt
Steering,Steering Noise,['Noise when turning steering wheel'],"[{'step': 'Inspect power steering fluid level', 'result': ['Low fluid level', 'Sufficient fluid level']}, {'step': 'Check power steering pump and hoses for leaks', 'result': ['Leaking pump/hoses', 'Pump and hoses in good condition']}]",category steering subcategory steering noise symptoms noise when turning steering wheel diagnosis steps 1 inspect power steering fluid level low fluid level sufficient fluid level 2 check power steering pump and hoses for leaks leaking pump hoses pump and hoses in good condition
Drivetrain,Shaft and Tires,"['Uneven tire wear', 'Vibration while driving']","[{'step': 'Inspect shaft for balance and alignment', 'result': ['Imbalanced/misaligned shaft', 'Properly balanced/aligned shaft']}, {'step': 'Check tire pressure and condition', 'result': ['Low/inappropriate pressure', 'Correct tire pressure and condition']}]",category drivetrain subcategory shaft and tires symptoms uneven tire wear vibration while driving diagnosis steps 1 inspect shaft for balance and alignment imbalanced misaligned shaft properly balanced aligned shaft 2 check tire pressure and condition low inappropriate pressure correct tire pressure and condition
Engine Compartment,Air Filter,"['Decreased engine performance', 'Black smoke from exhaust']","[{'step': 'Inspect air filter for clogs or dirt', 'result': ['Clogged/dirty filter', 'Clean filter']}, {'step': 'Replace air filter if necessary', 'result': ['Replace filter', 'Filter in good condition']}]",category engine compartment subcategory air filter symptoms decreased engine performance black smoke from exhaust diagnosis steps 1 inspect air filter for clogs or dirt clogged dirty filter clean filter 2 replace air filter if necessary replace filter filter in good condition
Engine Compartment,Engine Control Unit (ECU),"['Engine misfires', 'Poor fuel economy']","[{'step': 'Check ECU for fault codes', 'result': ['Fault codes present', 'No fault codes']}, {'step': 'Inspect ECU wiring harness for damage', 'result': ['Damaged harness', 'Intact harness']}]",category engine compartment subcategory engine control unit ecu symptoms engine misfires poor fuel economy diagnosis steps 1 check ecu for fault codes fault codes present no fault codes 2 inspect ecu wiring harness for damage damaged harness intact harness
Engine Compartment,Engine Oil,"['Low oil pressure warning light', 'Loud engine noise']","[{'step': 'Check engine oil level and condition', 'result': ['Low/dirty oil', 'Clean/sufficient oil']}, {'step': 'Inspect for oil leaks', 'result': ['Oil leaks present', 'No leaks detected']}]",category engine compartment subcategory engine oil symptoms low oil pressure warning light loud engine noise diagnosis steps 1 check engine oil level and condition low dirty oil clean sufficient oil 2 inspect for oil leaks oil leaks present no leaks detected
Engine Compartment,Fuel Filter,"['Engine stalls at high speeds', 'Poor acceleration']","[{'step': 'Inspect fuel filter for clogs or debris', 'result': ['Clogged/dirty filter', 'Clean filter']}, {'step': 'Replace fuel filter if necessary', 'result': ['Replace filter', 'Filter in good condition']}]",category engine compartment subcategory fuel filter symptoms engine stalls at high speeds poor acceleration diagnosis steps 1 inspect fuel filter for clogs or debris clogged dirty filter clean filter 2 replace fuel filter if necessary replace filter filter in good condition
Engine Compartment,PCV Valve,"['Oil leaks', 'Rough idle']","[{'step': 'Inspect PCV valve for clogs', 'result': ['Clogged valve', 'Valve clear']}, {'step': 'Check PCV valve hose for cracks', 'result': ['Cracked hose', 'Intact hose']}]",category engine compartment subcategory pcv valve symptoms oil leaks rough idle diagnosis steps 1 inspect pcv valve for clogs clogged valve valve clear 2 check pcv valve hose for cracks cracked hose intact hose
Engine Compartment,Throttle Body,"['Poor acceleration', 'Stalling at idle']","[{'step': 'Inspect throttle body for carbon buildup', 'result': ['Buildup present', 'Clean throttle body']}, {'step': 'Test throttle position sensor (TPS)', 'result': ['Faulty TPS', 'TPS working correctly']}]",category engine compartment subcategory throttle body symptoms poor acceleration stalling at idle diagnosis steps 1 inspect throttle body for carbon buildup buildup present clean throttle body 2 test throttle position sensor tps faulty tps tps working correctly
Fuel System,Fuel Injector,"['Engine misfires', 'Poor fuel economy']","[{'step': 'Test fuel injector spray pattern', 'result': ['Irregular spray pattern', 'Uniform spray pattern']}, {'step': 'Inspect injector for leaks or clogs', 'result': ['Leaking/clogged injector', 'Clean/in-tolerance injector']}]",category fuel system subcategory fuel injector symptoms engine misfires poor fuel economy diagnosis steps 1 test fuel injector spray pattern irregular spray pattern uniform spray pattern 2 inspect injector for leaks or clogs leaking clogged injector clean in tolerance injector
Fuel System,Fuel Pressure Regulator,"['Engine stalls', 'Black smoke from exhaust']","[{'step': 'Test fuel pressure regulator operation', 'result': ['Regulator malfunction', 'Regulator functions correctly']}, {'step': 'Check fuel pressure at regulator', 'result': ['Low/high pressure', 'Correct pressure']}]",category fuel system subcategory fuel pressure regulator symptoms engine stalls black smoke from exhaust diagnosis steps 1 test fuel pressure regulator operation regulator malfunction regulator functions correctly 2 check fuel pressure at regulator low high pressure correct pressure
Fuel System,Fuel Pump,"['Engine sputters at high speeds', 'Loss of power']","[{'step': 'Test fuel pump pressure', 'result': ['Low pressure', 'Normal pressure']}, {'step': 'Inspect fuel pump for leaks or damage', 'result': ['Leaking/damaged pump', 'Intact pump']}]",category fuel system subcategory fuel pump symptoms engine sputters at high speeds loss of power diagnosis steps 1 test fuel pump pressure low pressure normal pressure 2 inspect fuel pump for leaks or damage leaking damaged pump intact pump
Fuel System,Fuel Tank,"['Fuel odor inside vehicle', 'Visible fuel leak under vehicle']","[{'step': 'Inspect fuel tank for leaks or damage', 'result': ['Leaking/damaged tank', 'Tank in good condition']}, {'step': 'Check fuel filler cap for seal', 'result': ['Loose/broken cap', 'Cap seals properly']}]",category fuel system subcategory fuel tank symptoms fuel odor inside vehicle visible fuel leak under vehicle diagnosis steps 1 inspect fuel tank for leaks or damage leaking damaged tank tank in good condition 2 check fuel filler cap for seal loose broken cap cap seals properly
Fuel System,Throttle Position Sensor,"['Engine hesitates on acceleration', 'Stalling at idle']","[{'step': 'Test throttle position sensor (TPS) voltage', 'result': ['Low voltage', 'Normal voltage']}, {'step': 'Inspect TPS wiring for damage or corrosion', 'result': ['Damaged/corroded wiring', 'Intact wiring']}]",category fuel system subcategory throttle position sensor symptoms engine hesitates on acceleration stalling at idle diagnosis steps 1 test throttle position sensor tps voltage low voltage normal voltage 2 inspect tps wiring for damage or corrosion damaged corroded wiring intact wiring
Liquid Systems,Brake Fluid,"['Soft brake pedal', 'Brake warning light on']","[{'step': 'Check brake fluid level and condition', 'result': ['Low/dirty fluid', 'Clean/sufficient fluid']}, {'step': 'Inspect brake lines for leaks', 'result': ['Leaking lines', 'Lines in good condition']}]",category liquid systems subcategory brake fluid symptoms soft brake pedal brake warning light on diagnosis steps 1 check brake fluid level and condition low dirty fluid clean sufficient fluid 2 inspect brake lines for leaks leaking lines lines in good condition
Liquid Systems,Coolant Reservoir,"['Engine overheating', 'Low coolant warning light']","[{'step': 'Check coolant level in reservoir', 'result': ['Low coolant level', 'Sufficient coolant level']}, {'step': 'Inspect reservoir for cracks or leaks', 'result': ['Cracked/leaking reservoir', 'Intact reservoir']}]",category liquid systems subcategory coolant reservoir symptoms engine overheating low coolant warning light diagnosis steps 1 check coolant level in reservoir low coolant level sufficient coolant level 2 inspect reservoir for cracks or leaks cracked leaking reservoir intact reservoir
Liquid Systems,Power Steering Fluid,"['Whining noise when turning', 'Stiff steering wheel']","[{'step': 'Check power steering fluid level', 'result': ['Low fluid level', 'Sufficient fluid level']}, {'step': 'Inspect power steering hoses for leaks', 'result': ['Leaking hoses', 'Hoses in good condition']}]",category liquid systems subcategory power steering fluid symptoms whining noise when turning stiff steering wheel diagnosis steps 1 check power steering fluid level low fluid level sufficient fluid level 2 inspect power steering hoses for leaks leaking hoses hoses in good condition
Liquid Systems,Radiator,"['Engine overheating', 'Coolant leak']","[{'step': 'Inspect radiator for leaks or damage', 'result': ['Leaking/damaged radiator', 'Radiator in good condition']}, {'step': 'Check radiator cap for proper seal', 'result': ['Loose/broken cap', 'Cap seals properly']}]",category liquid systems subcategory radiator symptoms engine overheating coolant leak diagnosis steps 1 inspect radiator for leaks or damage leaking damaged radiator radiator in good condition 2 check radiator cap for proper seal loose broken cap cap seals properly
Liquid Systems,Windshield Washer Fluid,"['No washer fluid spray', 'Weak washer fluid spray']","[{'step': 'Check washer fluid level', 'result': ['Low fluid level', 'Sufficient fluid level']}, {'step': 'Inspect washer fluid pump for operation', 'result': ['Faulty pump', 'Pump operates correctly']}]",category liquid systems subcategory windshield washer fluid symptoms no washer fluid spray weak washer fluid spray diagnosis steps 1 check washer fluid level low fluid level sufficient fluid level 2 inspect washer fluid pump for operation faulty pump pump operates correctly
Transmission,Clutch Master Cylinder,"['Soft clutch pedal', 'Clutch slipping']","[{'step': 'Check clutch fluid level', 'result': ['Low fluid level', 'Sufficient fluid level']}, {'step': 'Inspect master cylinder for leaks', 'result': ['Leaking cylinder', 'Cylinder in good condition']}]",category transmission subcategory clutch master cylinder symptoms soft clutch pedal clutch slipping diagnosis steps 1 check clutch fluid level low fluid level sufficient fluid level 2 inspect master cylinder for leaks leaking cylinder cylinder in good condition
Transmission,Torque Converter,"['Slipping gears', 'Shuddering during acceleration']","[{'step': 'Inspect torque converter for leaks or damage', 'result': ['Leaking/damaged converter', 'Converter in good condition']}, {'step': 'Check transmission fluid level and condition', 'result': ['Low/dirty fluid', 'Clean/sufficient fluid']}]",category transmission subcategory torque converter symptoms slipping gears shuddering during acceleration diagnosis steps 1 inspect torque converter for leaks or damage leaking damaged converter converter in good condition 2 check transmission fluid level and condition low dirty fluid clean sufficient fluid
Transmission,Transmission Fluid,"['Gears slipping', 'Transmission overheating']","[{'step': 'Check transmission fluid level and condition', 'result': ['Low/dirty fluid', 'Clean/sufficient fluid']}, {'step': 'Inspect transmission pan and seals for leaks', 'result': ['Leaking pan/seals', 'Pan/seals in good condition']}]",category transmission subcategory transmission fluid symptoms gears slipping transmission overheating diagnosis steps 1 check transmission fluid level and condition low dirty fluid clean sufficient fluid 2 inspect transmission pan and seals for leaks leaking pan seals pan seals in good condition
Transmission,Transmission Filter,"['Delayed shifting', 'Transmission slipping']","[{'step': 'Inspect transmission filter for clogs or debris', 'result': ['Clogged/dirty filter', 'Clean filter']}, {'step': 'Replace transmission filter if necessary', 'result': ['Replace filter', 'Filter in good condition']}]",category transmission subcategory transmission filter symptoms delayed shifting transmission slipping diagnosis steps 1 inspect transmission filter for clogs or debris clogged dirty filter clean filter 2 replace transmission filter if necessary replace filter filter in good condition
Transmission,Transmission Solenoid,"['Erratic shifting', ""Transmission won't shift gears""]","[{'step': 'Test transmission solenoids for electrical continuity', 'result': ['Faulty solenoid', 'Solenoid working correctly']}, {'step': 'Inspect wiring harness for damage or corrosion', 'result': ['Damaged/corroded wiring', 'Intact wiring']}]",category transmission subcategory transmission solenoid symptoms erratic shifting transmission won t shift gears diagnosis steps 1 test transmission solenoids for electrical continuity faulty solenoid solenoid working correctly 2 inspect wiring harness for damage or corrosion damaged corroded wiring intact wiring
Wheels & Tires,Wheel Bearing,"['Grinding noise from wheels', 'Uneven tire wear']","[{'step': 'Check wheel bearing for play', 'result': ['Loose/worn bearing', 'Bearing in good condition']}, {'step': 'Inspect bearing for signs of damage or corrosion', 'result': ['Damaged/corroded bearing', 'Clean/intact bearing']}]",category wheels tires subcategory wheel bearing symptoms grinding noise from wheels uneven tire wear diagnosis steps 1 check wheel bearing for play loose worn bearing bearing in good condition 2 inspect bearing for signs of damage or corrosion damaged corroded bearing clean intact bearing
Wheels & Tires,Tire Pressure Monitoring System (TPMS),"['TPMS warning light on', 'Low tire pressure']","[{'step': 'Check tire pressures with gauge', 'result': ['Low/high pressure', 'Correct pressure']}, {'step': 'Inspect TPMS sensors for damage or corrosion', 'result': ['Damaged/corroded sensors', 'Clean/intact sensors']}]",category wheels tires subcategory tire pressure monitoring system tpms symptoms tpms warning light on low tire pressure diagnosis steps 1 check tire pressures with gauge low high pressure correct pressure 2 inspect tpms sensors for damage or corrosion damaged corroded sensors clean intact sensors
Wheels & Tires,Wheel Hub,"['Clicking or popping noise when turning', 'Wheel wobbling']","[{'step': 'Inspect wheel hub for play or bearing noise', 'result': ['Loose/worn hub', 'Hub in good condition']}, {'step': 'Check wheel bearings for wear', 'result': ['Worn bearings', 'Bearings in good condition']}]",category wheels tires subcategory wheel hub symptoms clicking or popping noise when turning wheel wobbling diagnosis steps 1 inspect wheel hub for play or bearing noise loose worn hub hub in good condition 2 check wheel bearings for wear worn bearings bearings in good condition
